Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
WRIST_FLANGE_L,0.015271377797363,-4.24864621861865E-05,-0.0235353991441276,0,0,0,0.0649500666280646,3.99932609806783E-05,-5.06657194385353E-08,-1.41750686729954E-05,5.07923104458074E-05,1.31533467895363E-07,4.08833952060494E-05,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_FLANGE_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_FLANGE_L.STL,,left-wrist-roll-1/ZJRX-A2-D11-L-11-左臂-手腕结构件-主体.step-1;left-wrist-roll-1/ZJRX-A2-D11-T-10-手腕结构件-盖板.step-1;left-wrist-roll-1/ZJRX-A2-D11-T-05-手腕结构件-随动.step-1,WRIST_FLANGE_L,Wrist_X_L,Wrist_X_L,revolute,0,0,-0.063,0,0,0,WRIST_UPDOWN_L,1,0,0,16,3.665,-1.5708,1.5708,,,,,,,,
TCP_L,8.52601156342558E-10,-3.77956332897611E-10,0.000948539898801171,0,0,0,0.00831948604489642,1.6356349182379E-06,-1.45172035135741E-12,9.58511085791337E-16,1.63563438092033E-06,1.50832178915764E-14,2.93439476375082E-06,0,0,0,0,0,0,package://WA1_D11/meshes/TCP_L.STL,0.247058823529412,0.392156862745098,1,1,0,0,0,0,0,0,package://WA1_D11/meshes/TCP_L.STL,,ZJRX-ARM-T-06-传感器替换件.step-1,TCP_L1,Tcp_L,Tcp_L,fixed,0,0,-0.060997,0,0,0,WRIST_FLANGE_L,0,0,0,,,,,,,,,,,,
HAND_L,-0.00803853237015675,0.00168733760855289,0.0699757704409902,0,0,0,0.59886719768334,0.000261223468543694,1.48975300636958E-05,4.0493188057245E-05,0.000455009546948694,-1.24136868444265E-05,0.000248250564969076,0,0,0,0,0,0,package://WA1_D11/meshes/HAND_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://WA1_D11/meshes/HAND_L.STL,,lefthand 装配图-1/leftpalm-1;lefthand 装配图-1/thumbDP-2;lefthand 装配图-1/thumbPP-1;lefthand 装配图-1/leftthumbMP-2;lefthand 装配图-1/DP-7;lefthand 装配图-1/DP-6;lefthand 装配图-1/DP-5;lefthand 装配图-1/DP-1;lefthand 装配图-1/PP-4;lefthand 装配图-1/PP-3;lefthand 装配图-1/PP-2;lefthand 装配图-1/PP-1;lefthand 装配图-1/MP-4;lefthand 装配图-1/MP-3;lefthand 装配图-1/MP-2;lefthand 装配图-1/MP-1,HAND_L1,Hand_L,Hand_L,fixed,0,0,0,-3.1416,0,3.1416,TCP_L,0,0,0,,,,,,,,,,,,
SCAPULA_R,-0.000402150446242477,-0.0702562861558398,-9.26355905829235E-05,0,0,0,1.11869315037061,0.00101092896571746,3.37783537983793E-05,-2.14466909714358E-06,0.00117732651620644,4.40450960422662E-06,0.00124017745839241,0,0,0,0,0,0,package://WA1_D11/meshes/SCAPULA_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/SCAPULA_R.STL,,右肩俯仰-URDF-1/ZJRX-A-P-R-02-右臂-肩俯仰结构件.step-1;右肩俯仰-URDF-1/B关节替换件-2,SCAPULA_R,Shoulder_Y_R,Shoulder_Y_R,revolute,0.0074317,-0.16387,0.39,0,0,0.5236,CHEST,0,1,0,57,3.56,-4.0143,1.2217,,,,,,,,
SHOULDER_R,0.0216412981331083,-0.00137545856455012,-0.0364212007494441,0,0,0,0.241025600116243,0.000357794651353449,-1.13555940947594E-05,-0.000118745577461303,0.000434108778370339,-1.29349398844929E-05,0.000360423039518984,0,0,0,0,0,0,package://WA1_D11/meshes/SHOULDER_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/SHOULDER_R.STL,,右肩滚转-URDF-1/ZJRX-A-P-R-03-右臂-肩滚动结构件-主体.step-1;右肩滚转-URDF-1/右臂-肩滚动结构件-盖板-1;右肩滚转-URDF-1/ZJRX-A-P-R-04-右臂-肩滚动结构件-随动件.step-1,SHOULDER_R,Shoulder_X_R,Shoulder_X_R,revolute,0,-0.075202,0,0.34907,0,0,SCAPULA_R,1,0,0,57,3.56,-3.1067,0.034907,,,,,,,,
UPPERARM_R,-0.000572304026199677,-0.000198199393050547,-0.0735208393337039,0,0,0,1.68407338236387,0.00185788221769922,-1.39135380634891E-08,-4.99026273045548E-06,0.00192683812433836,3.92221326667558E-06,0.000957727830952879,0,0,0,0,0,0,package://WA1_D11/meshes/UPPERARM_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/UPPERARM_R.STL,,大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/ZJRX-A-P-R-05-右臂-大臂-主动端.step-1;大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/大臂盖板-1;大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/肘关节驱动替代版-1;大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/ZJRX-A-P-T-01-肘关节轴承支承盘.step-1;大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/肘关节散热块-1;大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/2006散热风扇-2;大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/ZJRX-A-P-R-06-右臂-大臂-随动端.step-1;大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/肘关节散热块-镜像-1;大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/2006散热风扇-1;大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/E关节替换件-1;大臂及肘-右-肩偏航URDF-1/大臂-右-URDF-1/B关节替换件-1,UPPERARM_R,Shoulder_Z_R,Shoulder_Z_R,revolute,0,0,-0.0845,0,0,0,SHOULDER_R,0,0,1,57,3.56,-3.1067,3.1067,,,,,,,,
FOREARM_R,-0.00302119886064811,0.00211723251351842,-0.0303468148267078,0,0,0,0.210712842514159,0.000244492616078598,1.14233327274588E-06,-1.21105277454422E-06,0.000196759510509524,5.47109538118744E-05,0.000233898439530787,0,0,0,0,0,0,package://WA1_D11/meshes/FOREARM_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/FOREARM_R.STL,,大臂及肘-右-肘俯仰URDF-1/ZJRX-A-P-R-07-右臂-肘关节结构件-主体.step-1;大臂及肘-右-肘俯仰URDF-1/肘关节结构件-盖板-1;大臂及肘-右-肘俯仰URDF-1/ZJRX-A-P-R-08-右臂-肘关节结构件-随动.step-1,FOREARM_R,Elbow_R,Elbow_R,revolute,0,0,-0.1555,0,0,0,UPPERARM_R,0,1,0,31,3.665,-2.0944,0.034907,,,,,,,,
WRIST_REVOLUTE_R,5.77918113960352E-05,-0.00171652129112282,-0.0687778135899822,0,0,0,1.45498430361659,0.00109706419575496,-3.30117899103802E-07,1.49763482699786E-06,0.00112102624265615,-5.54957235234619E-06,0.000950664716772922,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_REVOLUTE_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_REVOLUTE_R.STL,,right-wrist-yaw-1/ZJRX-A-P-T-02-小臂上结构件.step-1;right-wrist-yaw-1/腕关节驱动组件替代版.step-1;right-wrist-yaw-1/ZJRX-A2-D11-T-03-腕关节轴承支承盘.step-1;right-wrist-yaw-1/D11关节替换件1.47.1六边-1;right-wrist-yaw-1/ZJRX-A2-D11-R-09-右臂-小臂下结构件.step-1;right-wrist-yaw-1/右臂手腕皮套-1;right-wrist-yaw-1/C关节替换件-1,WRIST_REVOLUTE_R,Wrist_Z_R,Wrist_Z_R,revolute,0,0,-0.0685,0,0,0,FOREARM_R,0,0,1,25,3.665,-3.1067,3.1067,,,,,,,,
WRIST_UPDOWN_R,0.00358196970069241,-0.000542519960150145,-0.053989950949236,0,0,0,0.484465029234668,0.000252677712499045,-1.39569279222105E-06,4.11281577624332E-06,0.000237462146045727,2.68763464727798E-05,0.000197850070754323,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_UPDOWN_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_UPDOWN_R.STL,,right-wrist-pitch-1/ZJRX-A2-D11-R-10-右臂-腕俯仰结构件-主体.step-1;right-wrist-pitch-1/ZJRX-A2-D11-T-09-腕俯仰结构件-盖板 (1).step-1;right-wrist-pitch-1/ZJRX-A2-D11-T-04-腕俯仰结构件-随动.step-1;right-wrist-pitch-1/ZJRX-A2-D11-T-03-腕关节轴承支承盘.step-1;right-wrist-pitch-1/D11关节替换件1.47.1六边-1,WRIST_UPDOWN_R,Wrist_Y_R,Wrist_Y_R,revolute,0,0,-0.1385,0,0,0,WRIST_REVOLUTE_R,0,1,0,16,3.665,-1.5708,1.5708,,,,,,,,
WRIST_FLANGE_R,0.015277237486028,3.49308868037856E-05,-0.0235279435321535,0,0,0,0.0649773244254223,4.00089443052184E-05,5.70756852861663E-08,-1.41809072896705E-05,5.08118821371125E-05,-1.2271350984328E-07,4.08967854978809E-05,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_FLANGE_R.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_FLANGE_R.STL,,right-wrist-roll-1/ZJRX-A2-D11-R-11-右臂-手腕结构件-主体.step-1;right-wrist-roll-1/ZJRX-A2-D11-T-05-手腕结构件-随动.step-1;right-wrist-roll-1/ZJRX-A2-D11-T-10-手腕结构件-盖板.step-2,WRIST_FLANGE_R,Wrist_X_R,Wrist_X_R,revolute,0,0,-0.063,0,0,0,WRIST_UPDOWN_R,1,0,0,16,3.665,-1.5708,1.5708,,,,,,,,
TCP_R,-1.2254891545993E-09,-2.15201079178939E-10,0.000948539845304547,0,0,0,0.0083194860351157,1.63563612762997E-06,1.22527403813096E-14,-3.72595730103264E-15,1.63563317871486E-06,-4.76299797868121E-14,2.93439476569626E-06,0,0,0,0,0,0,package://WA1_D11/meshes/TCP_R.STL,0.247058823529412,0.392156862745098,1,1,0,0,0,0,0,0,package://WA1_D11/meshes/TCP_R.STL,,right-wrist-roll-1/ZJRX-ARM-T-06-传感器替换件.step-1,TCP_R1,Tcp_R,Tcp_R,fixed,0,0,-0.060997,0,0,0,WRIST_FLANGE_R,0,0,0,,,,,,,,,,,,
HAND_R,-0.00813602345410452,-0.000982956894010012,0.0699569868302473,0,0,0,0.599192782523271,0.000260344689705192,2.09080679407191E-06,4.16277203037547E-05,0.000456556434451783,8.89166345417832E-06,0.000248497954580249,0,0,0,0,0,0,package://WA1_D11/meshes/HAND_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://WA1_D11/meshes/HAND_R.STL,,righthand 装配图-1/rightpalm-1;righthand 装配图-1/thumbDP-2;righthand 装配图-1/thumbPP-1;righthand 装配图-1/rightthumbMP-2;righthand 装配图-1/DP-7;righthand 装配图-1/DP-6;righthand 装配图-1/DP-5;righthand 装配图-1/DP-1;righthand 装配图-1/PP-4;righthand 装配图-1/PP-3;righthand 装配图-1/PP-2;righthand 装配图-1/PP-1;righthand 装配图-1/MP-4;righthand 装配图-1/MP-3;righthand 装配图-1/MP-2;righthand 装配图-1/MP-1,HAND_R1,Hand_R,Hand_R,fixed,0,0,0,-3.1416,0,-3.1416,TCP_R,0,0,0,,,,,,,,,,,,
NECK,-0.000121156880574264,0.000115504936873512,0.0384194913123298,0,0,0,0.257410493836561,4.35116739632781E-05,-5.40138448016501E-10,1.08317942884696E-08,6.56746070988325E-05,3.47862212255701E-06,3.92116071547783E-05,0,0,0,0,0,0,package://WA1_D11/meshes/NECK.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/NECK.STL,,HEAD-1/头部装配V1-2-1/RX-01-01-16 头部支架1-1;HEAD-1/头部装配V1-2-1/D1型号关节V1-1-1;HEAD-1/头部装配V1-2-1/RX-01-01-15A-2 头部限位块-2;HEAD-1/头部装配V1-2-1/RX-01-01-15A-1 头部限位块-1,NECK,Neck_Z,Neck_Z,revolute,0,0,0.531,0,0,0,CHEST,0,0,1,7,3.665,-0.7854,0.7854,,,,,,,,
HEAD,0.0194813303067846,-0.000529883194501091,0.0777722981006055,0,0,0,0.746362199037203,0.0013829848595793,-2.15651560217154E-06,-6.73450352309605E-05,0.00111844380050576,-8.36333664395905E-06,0.00126005444551711,0,0,0,0,0,0,package://WA1_D11/meshes/HEAD.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/HEAD.STL,,HEAD-1/头部装配V1-2-1/RX-01-01-17 头部支架2-1;HEAD-1/头部装配V1-2-1/头部摄像装配V1-2-1/RX-01-01-19A 四目支架-1;HEAD-1/头部装配V1-2-1/头部摄像装配V1-2-1/RX-01-01-20A 扬声器支架-1;HEAD-1/头部装配V1-2-1/头部摄像装配V1-2-1/喇叭40-1;HEAD-1/头部装配V1-2-1/头部摄像装配V1-2-1/视频采集卡-1;HEAD-1/头部装配V1-2-1/头部摄像装配V1-2-1/UC-788.stp-4;HEAD-1/头部装配V1-2-1/头部摄像装配V1-2-1/UC-788.stp-3;HEAD-1/头部装配V1-2-1/头部摄像装配V1-2-1/UC-788.stp-2;HEAD-1/头部装配V1-2-1/头部摄像装配V1-2-1/UC-788.stp-1;HEAD-1/头部装配V1-2-1/头部摄像装配V1-2-1/视频采集卡-2;HEAD-1/头部装配V1-2-1/头部摄像装配V1-2-1/垫块0729-01-1;HEAD-1/头部装配V1-2-1/主板+转接板.stp-1;HEAD-1/头部装配V1-2-1/RX-01-01-18 扬声器固定板-1;HEAD-1/头部装配V1-2-1/头部外观装配V1-3-1/RX-01-03-09C 头后壳-1;HEAD-1/头部装配V1-2-1/头部外观装配V1-3-1/下巴.stp-1;HEAD-1/头部装配V1-2-1/头部外观装配V1-3-1/011(5).stp-2;HEAD-1/头部装配V1-2-1/头部外观装配V1-3-1/RX-01-03-12C 头面罩-1;HEAD-1/头部装配V1-2-1/头部外观装配V1-3-1/RX-01-03-08C 头后壳-1;HEAD-1/头部装配V1-2-1/麦克风阵列-1;HEAD-1/头部装配V1-2-1/RX-01-03-21 腔体壳-1;HEAD-1/头部装配V1-2-1/RX-01-03-20 腔体-1,HEAD,Neck_Y,Neck_Y,revolute,0,0,0.042,0,0,0,NECK,0,1,0,7,3.665,-0.17453,0.34907,,,,,,,,
